"question_number","has_image","image_path","question_text","option_a","option_b","option_c","option_d","correct_option","review_status","notes"
"1","no","","Find (101₂)², expressing the answer in base 2.","11101","10101","10010","11001","D","answered",""
"2","no","","If three children share ₦10.50 among themselves in the ratio 6:7:8, how much is the largest share?","₦3.50","₦4.00","₦4.50","₦3.00","B","answered",""
"3","no","","Express 0.000834 in standard form.","8.34 x 10⁻⁴","8.34 x 10⁻³","8.34 x 10⁴","8.34 x 10³","A","answered",""
"4","no","","Simplify 0.027⁻¹⁄₃","³⁄₁₀","3¹⁄₃","¹⁄₃","3","B","answered",""
"5","no","","Given that log₂a = log₈₄, find a.","2¹⁄₂","2²⁄₃","4²⁄₃","4¹⁄₂","B","answered",""
"6","no","","By selling some crates of soft drinks for ₦600.00, a dealer makes a profit of 50%. How much did the dealer pay for the drinks?","₦400.00","₦1200.00","₦900.00","₦450.00","A","answered",""
"7","no","","Find the nth term Un of the A.P. 11, 4, -3, …","Un = 19 - 7n","Un = 19 + 7n","Un = 18 - 7n","Un = 18 + 7n","C","answered",""
"8","no","","If R = {2, 4, 6, 7} and S = {1, 2, 4, 8} then R ∪ S equals","{1, 2, 4, 6, 7, 8}","{1, 2, 4, 7, 8}","{1, 4, 7, 8}","{2, 6, 7}","A","answered",""
"9","no","","If 
¹⁶⁄₉
, x, 1, y are in geometric progression (G.P.). Find the product of x and y.","¹⁶⁄₉","³⁄₄","1","⁴⁄₃","C","answered",""
"10","yes","uploads/question_bank/waec_2025_mathematics/Q10_diagram.png","In the diagram above, the shaded portion is","(P ∪ Q)ᶜ ∩ R","Pᶜ ∩ Q ∩ R","Pᶜ ∩ R","Qᶜ ∩ R","C","answered",""
"11","no","","Find the values of x for which the expression is undefined: (6x - 1)/(x² + 4x - 5)","+5 or -1","-5 or +1","-5 or -1","+4 or +1","B","answered",""
"12","no","","Solve the inequality ¹⁄₃(2x - 1) < 5","x < -5","x < 8","x < -6","x < 7","B","answered",""
"13","no","","What is the smaller value of x for which x² - 3x + 2 = 0 ?","4","2","3","1","D","answered",""
"14","no","","Factorize the expression x(a - c) + y(c - a)","(a - c)(y - x)","(a + c)(x + y)","(a + c)(x - y)","(a - c)(x - y)","D","answered",""
"15","no","","If y ∝ 1⁄x² and x = 3, when y = 4, find y when x = 2","3","9","1","18","B","answered",""
"16","no","","Solve the equation 3x² + 25x - 18 = 0","-3, 2","-9, 
²⁄₃","-2, 9","-2, 3","B","answered",""
"17","no","","Solve the equation (x + 2)(x - 7) = 0","-1 or 8","-4 or 5","-3 or 6","-2 or 7","D","answered",""
"18","no","","Solve the following simultaneous equations: x + y = 
³⁄₂
, x - y = 
⁵⁄₂
. And use your result to find the value of 2y + x.","-2","¹⁄₂","1","-1","C","answered",""
"19","yes","uploads/question_bank/waec_2025_mathematics/Q19_diagram.png","Which of the following could be the inequality illustrated in the sketch graph above?","y ≤ -3x + 3","y ≤ 3x + 2","y ≥ -2x + 3","y ≤ x + 3","A","answered",""
"20","yes","uploads/question_bank/waec_2025_mathematics/Q20_diagram.png","What is the minimum value of y?","-7","-10","-4","-1","A","answered",""
"21","yes","uploads/question_bank/waec_2025_mathematics/Q21_diagram.png","Find the roots of the equation y = 3x² + x - 7.","1.4 and -1.7","2.0 and -1.9","1.0 and -1.2","1.1 and -1.3","A","answered",""
"22","no","","The diagonals AC and BD of a rhombus ABCD are 16 cm and 12 cm long, respectively. Calculate the area of the rhombus.","96 cm²","36 cm²","48 cm²","24 cm²","A","answered",""
"23","yes","uploads/question_bank/waec_2025_mathematics/Q23_diagram.png","A cylindrical container, closed at both ends, has a radius of 7 cm and a height of 5 cm. Use this information to answer the questions below. Find the total surface area of the container.","35 cm²","528 cm²","154 cm²","220 cm²","B","answered",""
"24","no","","Find the total surface area of a solid circular cone with base radius 3 cm and slant height 4 cm. [Take π = ²²⁄₇]","66 cm²","37⁵⁄₇cm²","75³⁄₇cm²","78⁶⁄₇cm²","A","answered",""
"25","no","","A water tank of height ¹⁄₂ m has a square base of side 1 ¹⁄₂m. If it is filled with water from a water tanker holding 1500 litres, how many litres of water are left in the water tanker? [1000 litres = 1 m³]","375 litres","3750 litres","37.5 litres","37500 litres","A","answered",""
"26","no","","A hollow sphere has a volume of k cm³ and a surface area of k cm². Calculate the diameter of the sphere.","3 cm","9 cm","More information needed.","6 cm","D","answered",""
"27","yes","uploads/question_bank/waec_2025_mathematics/Q27_diagram.png","The diagram above shows a cone with the dimensions of its frustum indicated. Calculate the height of the cone.","24 cm","15 cm","8 cm","12 cm","A","answered",""
"28","no","","The positions of two countries, P and Q, are (15°N, 12°E) and (65°N, 12°E) respectively. What is the difference in latitude?","50°","104°","80°","100°","A","answered",""
"29","no","","A 120° sector of a circle of radius 21 cm is bent to form a cone. What is the base radius of the cone?","3¹⁄₂ cm","10¹⁄₂ cm","14 cm","7 cm","D","answered",""
"30","yes","uploads/question_bank/waec_2025_mathematics/Q30_diagram.png","A cylindrical container, closed at both ends, has a radius of 7 cm and a height of 5 cm. Use this information to answer the questions below. What is the volume of the container?","770 cm³","35 cm³","220 cm³","154 cm³","A","answered",""
"31","no","","If log₁₀x = 2.3675 and log₁₀y = 2.9738, what is the value of x + y, correct to three significant figures","0.118","0.903","0.117","0.944","C","answered","The source appears to omit barred-log notation. Answer uses the barred characteristic interpretation, giving x + y ≈ 0.117."
"32","no","","The angle of a sector of a circle is 108 °. If the radius of the circle is 3¹⁄₂cm, find the perimeter of the sector.","6 ³⁄₅ cm","7²⁄₁₀ cm","6 ⁴⁄₅ cm","13 ³⁄₅ cm","D","answered",""
"33","yes","uploads/question_bank/waec_2025_mathematics/Q33_diagram.png","In the diagram above, AO is perpendicular to OB. Find x.","15°","22.5°","7.5°","30°","D","answered",""
"34","yes","uploads/question_bank/waec_2025_mathematics/Q34_diagram.png","In the diagram above. O is the centre of the circle and |BD| = |DC|. If ∠DCB = 35°, find ∠BAO","25°","30°","20°","35°","C","answered",""
"35","no","","Which of the following angles is an exterior angle of a regular polygon?","95°","78°","72°","85°","C","answered",""
"36","no","","The locus of a point which is equidistant from two given fixed points is the","Angle bisector of the straight lines joining them.","Parallel line to the straight line joining them.","Perpendicular to the straight line joining them.","Perpendicular bisector of the straight line joining them.","D","answered",""
"37","yes","uploads/question_bank/waec_2025_mathematics/Q37_diagram.png","In the diagram,|AB| = 12cm, |AE| = 8cm, |DC| = 9cm and BD||DC. Find the length of EC.","6cm","5cm","8cm","9cm","A","answered",""
"38","yes","uploads/question_bank/waec_2025_mathematics/Q38_diagram.png","In the diagram above, PQ is parallel to TU, ∠PQR = 50°, ∠QRS = 86°, and ∠STU = 64°. Calculate the value of x","100°","108°","120°","136°","A","answered",""
"39","yes","uploads/question_bank/waec_2025_mathematics/Q39_diagram.png","In the diagram below, AB||DC, the bisectors of ∠BAC and ∠ACD meet at E. Find the value of ∠AEC","45°","60°","30°","90°","D","answered",""
"40","yes","uploads/question_bank/waec_2025_mathematics/Q40_diagram.png","In the diagram above, AB||CD. What is the size of the angle marked x?","93°","77°","103°","62°","A","answered",""
"41","yes","uploads/question_bank/waec_2025_mathematics/Q41_diagram.png","In the diagram above, the value of angles b + c is","a°","90°","180°","d°","C","answered",""
"42","yes","uploads/question_bank/waec_2025_mathematics/Q42_diagram.png","In △ABC above, BC is produced to D, |AB| = |AC|, and ∠BAC = 50°. Find ∠ACD.","115°","65°","60°","50°","A","answered",""
"43","yes","uploads/question_bank/waec_2025_mathematics/Q43_diagram.png","In the diagram above, ∠PRQ = 90°, ∠QPR = 30° and |PQ| = 10 cm. Find y","6cm","4cm","5cm","3cm","C","answered",""
"44","no","","What is the mode of the numbers 8, 10, 9, 9, 10, 8, 11, 8, 10, 9, 8, and 14?","8","9","10","11","A","answered",""
"45","no","","The bearing of two points Q and R from a point P are 030° and 120°, respectively. If |PQ| = 12 m and |PR| = 5 m, find the distance QR.","11 m","13 m","9 m","7 m","B","answered",""
"46","no","","Without using tables, find the value of: sin 20°⁄cos 70° + cos 25°⁄sin 65°","2","0","1","-1","A","answered",""
"47","no","","The mean of 20 observations in an experiment is 4. If the observed largest value is 23, find the mean of the remaining observations.","4","2.60","2.85","3","D","answered",""
"48","no","","Two fair dice are tossed together once. Find the probability that the sum of the outcomes is at least 10.","¹⁄₆","¹⁄₁₂","¹⁄₄","⁵⁄₃₆","A","answered",""
"49","no","","Find the median of the following numbers: 2.64, 2.50, 2.72, 2.91, and 2.35","2.50","2.64","2.91","2.72","B","answered",""
"50","no","","From a box containing 2 red, 6 white, and 5 black balls, a ball is randomly selected. What is the probability that the selected ball is black?","⁵⁄₁₃","⁵⁄₁₁","²⁄₁₃","⁵⁄₆","A","answered",""
